2026-06-30 15:22:00 info: Congratulations, your extension "Embold" is now active!
2026-06-30 15:22:00 info: ************* init ****************
2026-06-30 15:22:00 info: tempDirectory : c:\Users\Acer\.vscode\extensions\embold-vscode.embold-0.3.8\temp
2026-06-30 15:22:07 info: Extraction complete for source: c:\Users\Acer\.vscode\extensions\embold-vscode.embold-0.3.8\resources\embold-scanner-archive.zip, destination: c:\Users\Acer\.vscode\extensions\embold-vscode.embold-0.3.8\temp
2026-06-30 15:22:07 info: Extension installed on machine OS : win32
2026-06-30 15:22:07 info: Loading issues from local database on startup (checkbox unchecked)
2026-06-30 15:22:07 info: Using emboldDBDir: d:\Documents\Lesya\Rolling Scopes\summer_bootcamp_2026\js30-widgets\.embold
2026-06-30 15:22:07 info: NO_PROXY set from VS Code http.noProxy: 
2026-06-30 15:22:07 info: NODE_TLS_REJECT_UNAUTHORIZED not set (SSL verification enabled)
2026-06-30 15:22:07 info: Using system certificates for SSL verification
2026-07-03 00:03:17 info: Row(s) deleted
2026-07-03 00:06:20 info: Row(s) deleted
2026-07-03 16:46:01 info: Row(s) deleted
2026-07-03 16:46:01 info: Row(s) deleted
2026-07-03 16:46:01 info: Row(s) deleted
2026-07-03 16:46:01 info: Row(s) deleted
2026-07-03 16:52:15 info: Row(s) deleted
2026-07-03 16:55:22 info: Row(s) deleted
2026-07-03 16:58:38 info: Row(s) deleted
2026-07-03 17:07:24 info: Row(s) deleted
2026-07-03 17:07:50 info: Row(s) deleted
2026-07-03 17:10:33 info: Row(s) deleted
2026-07-03 17:13:42 info: Row(s) deleted
2026-07-03 17:19:53 info: Row(s) deleted
2026-07-03 17:24:31 info: Row(s) deleted
2026-07-03 17:27:44 info: Row(s) deleted
2026-07-03 18:06:06 info: Row(s) deleted
2026-07-03 18:24:20 info: Row(s) deleted
2026-07-03 18:27:52 info: Row(s) deleted
2026-07-03 19:16:37 info: Row(s) deleted
2026-07-03 19:37:14 info: Row(s) deleted
2026-07-03 19:40:19 info: Row(s) deleted
2026-07-03 19:47:36 info: Row(s) deleted
2026-07-03 19:48:08 info: Row(s) deleted
2026-07-03 19:50:23 info: Row(s) deleted
2026-07-03 19:53:37 info: Row(s) deleted
2026-07-03 19:57:33 info: Row(s) deleted
2026-07-03 20:01:13 info: Row(s) deleted
2026-07-03 20:08:21 info: Row(s) deleted
2026-07-03 20:11:27 info: Row(s) deleted
2026-07-03 20:17:36 info: Row(s) deleted
2026-07-03 20:30:32 info: Row(s) deleted
2026-07-03 20:33:37 info: Row(s) deleted
2026-07-03 20:57:34 info: Row(s) deleted
2026-07-03 21:03:45 info: Row(s) deleted
2026-07-03 21:06:51 info: Row(s) deleted
2026-07-03 21:09:55 info: Row(s) deleted
2026-07-03 21:13:07 info: Row(s) deleted
2026-07-03 21:16:12 info: Row(s) deleted
2026-07-03 21:30:10 info: Row(s) deleted
2026-07-03 21:33:17 info: Row(s) deleted
2026-07-03 21:36:22 info: Row(s) deleted
2026-07-03 21:42:12 info: Row(s) deleted
2026-07-03 21:50:38 info: Row(s) deleted
2026-07-03 21:51:00 info: Row(s) deleted
2026-07-03 22:14:06 info: Row(s) deleted
2026-07-03 22:17:11 info: Row(s) deleted
